,Name,Code,Big Theme,Theme,Source,Source acronym,Comment,Last update,Frequency,Measure,Unit,Status
Abate - suínos - qde.,Abate - suínos - qde.,ABATE12_ABQUSU12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para suínos, é facultativo a retirada de couro, cabeça e pés. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
Abate - vacas - qde.,Abate - vacas - qde.,ABATE12_ABQUVA12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para vacas, bovino fêmea adulta, com no mínimo dois anos de idade, independente de já ter reproduzido ou não é facultativo a retirada de couro, cabeça e pés. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
"Expedição de caixas, acessórios e chapas - papelão ondulado - qde.","Expedição de caixas, acessórios e chapas - papelão ondulado - qde.",ABPO12_PAPEL12,Macroeconômico,Produção,"Associação Brasileira do Papelão Ondulado, Boletim Informativo (ABPO/Boletim)",ABPO,"Dados a partir de jan/2005 revisados pela fonte em 2011. Os dados anteriores aqui apresentados foram encadeados à série nova de modo a manter as variações mensais da série anteriormente disponível. Para isso, os valores de jan/1980 a dez/2004 da série antiga foram elevados em 24,95%.",2021-03-01T15:14:00.81-03:00,Mensal,Tonelada,,A
Produção- fertilizantes - qde.,Produção- fertilizantes - qde.,ANDA12_PFERTILIZ12,Macroeconômico,Produção,Associação Nacional para Difusão de Adubos (Anda),Anda,Os dados referem-se a produção nacional de fertilizantes intermediários.,2021-03-05T17:28:00.18-03:00,Mensal,Tonelada,.,A
Produção - gás natural - média - qde.,Produção - gás natural - média - qde.,ANP12_PDGASN12,Macroeconômico,Produção,Agência Nacional do Petróleo (ANP),ANP,Quantidade média produzida a cada dia do mês.,2021-03-05T15:08:00.313-03:00,Mensal,Metro cúbico,milhões,A
Produção - petróleo - média - qde./dia,Produção - petróleo - média - qde./dia,ANP12_PDPET12,Macroeconômico,Produção,Agência Nacional do Petróleo (ANP),ANP,Quantidade média produzida a cada dia do mês.,2021-03-05T15:08:00.313-03:00,Mensal,Barril,mil,A
Utilização da capacidade instalada - indústria - média,Utilização da capacidade instalada - indústria - média,CE12_CUTIND12,Macroeconômico,Produção,"Fundação Getulio Vargas, Conjuntura Econômica (FGV/Conj. Econ.)",FGV/Conj. Econ.,"A partir de 2005 a pesquisa passa a ser divulgada mensalmente. Antes de 1998 os dados foram encadeados a partir da antiga pesquisa realizada trimestralmente nos meses de janeiro, abril, julho e outubro.",2021-03-05T15:08:00.313-03:00,Mensal,(%),,A
Produção industrial - indústria geral -  estoques  - evolução - índice,Produção industrial - indústria geral -  estoques  - evolução - índice,CNI12_INDE12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Produção industrial - indústria extrativa -  estoques  - evolução - índice,Produção industrial - indústria extrativa -  estoques  - evolução - índice,CNI12_INDEE12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Produção industrial - indústria extrativa -  estoques  - efetivo/planejado - índice,Produção industrial - indústria extrativa -  estoques  - efetivo/planejado - índice,CNI12_INDEP12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Produção industrial - indústria geral -  estoques  - efetivo/planejado - índice,Produção industrial - indústria geral -  estoques  - efetivo/planejado - índice,CNI12_INDP12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Produção industrial - indústria de transformação -  estoques  - evolução - índice,Produção industrial - indústria de transformação -  estoques  - evolução - índice,CNI12_INDTE12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Produção industrial - indústria de transformação -  estoques  - efetivo/planejado - índice,Produção industrial - indústria de transformação -  estoques  - efetivo/planejado - índice,CNI12_INDTP12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Mensal,-,,A
Utilização da capacidade instalada - indústria,Utilização da capacidade instalada - indústria,CNI12_NUCAP12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"A partir de janeiro de 2006 os dados foram calculados com nova metodologia, que apresenta duas mudanças fundamentais, uma na base de ponderação e outra na conceituação de variáveis.  Os  indicadores tiveram os cálculos refeitos desde janeiro de 2003. Para dados anteriores a janeiro 2003 o encadeamento da série foi feito utilizando a série divulgada com base na antiga metodologia.",2021-03-04T15:04:00.41-03:00,Mensal,(%),,A
Utilização da capacidade instalada - indústria - dessaz.,Utilização da capacidade instalada - indústria - dessaz.,CNI12_NUCAPD12,Macroeconômico,Produção,Confederação Nacional da Indústria,CNI,"A partir de janeiro de 2006 os dados foram calculados com nova metodologia, que apresenta duas mudanças fundamentais, uma na base de ponderação e outra na conceituação de variáveis.  Os  indicadores tiveram os cálculos refeitos desde janeiro de 2003. Para dados anteriores a janeiro 2003 o encadeamento da série foi feito utilizando a série divulgada com base na antiga metodologia.",2021-03-04T15:04:00.41-03:00,Mensal,(%),,A
Utilização da capacidade - indústria - extrativa mineral - média,Utilização da capacidade - indústria - extrativa mineral - média,FIEMG12_CUTIND12,Macroeconômico,Produção,Federação das Indústrias do Estado de Minas Gerais (Fiemg),Fiemg,A Utilização da Capacidade Instalada (UCI) é um índice que mede o nível de atividade da indústria mostrando a porcentagem do parque industrial que está trabalhando.,2021-02-12T09:06:00.287-03:00,Mensal,(%),,A
Produção - aço bruto,Produção - aço bruto,IBSIE12_QSCAB12,Macroeconômico,Produção,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",IBS/IE,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .",2021-03-05T17:44:00.05-03:00,Mensal,Tonelada,mil,A
Produção - ferro-gusa,Produção - ferro-gusa,IBSIE12_QSCFG12,Macroeconômico,Produção,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",IBS/IE,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .",2021-03-05T17:44:00.05-03:00,Mensal,Tonelada,mil,A
Produção - laminados,Produção - laminados,IBSIE12_QSCL12,Macroeconômico,Produção,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",IBS/IE,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .  Obs.: Compreende laminados planos e longos.",2021-03-05T17:44:00.05-03:00,Mensal,Tonelada,mil,A
Geração de energia elétrica - térmica convencional - qde.,Geração de energia elétrica - térmica convencional - qde.,ONS12_CONV12,Macroeconômico,Produção,Operador Nacional do Sistema Elétrico (ONS),ONS,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Mensal,GWh,,A
Geração de energia elétrica - hidráulica - qde.,Geração de energia elétrica - hidráulica - qde.,ONS12_HIDR12,Macroeconômico,Produção,Operador Nacional do Sistema Elétrico (ONS),ONS,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Mensal,GWh,,A
Geração de energia elétrica - termo nuclear - qde.,Geração de energia elétrica - termo nuclear - qde.,ONS12_NUCL12,Macroeconômico,Produção,Operador Nacional do Sistema Elétrico (ONS),ONS,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Mensal,GWh,,A
PIM-PF - Produção industrial - bens de consumo duráveis -  Índice base fixa (média 2012=100),PIM-PF - Produção industrial - bens de consumo duráveis -  Índice base fixa (média 2012=100),PIMPFN12_QIBCDN12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF)",IBGE/PIM-PF,"A Pesquisa Industrial Mensal Produção Física têm por objetivo acompanhar a evolução do produto real da indústria no curto prazo, sendo necessário o levantamento de informações de volume físico de produtos selecionados e representativos de diferentes atividades industriais, como das indústrias extrativas e de transformação. A pesquisa vêm sendo feita desde 1970, com informações fornecidas todos os meses, até o dia 10 de cada mês posterior ao de referência.  Como produção industrial de bens de consumo duráveis compreende-se mercadorias com vida útil superior a três anos e mercadorias com vida útil superior a um ano, mas com valor unitário relativamente alto, como geladeiras, refrigeradores e máquinas de lavar.  Base é o valor, num determinado momento ( efetivo ou resultante da média tomada dentro de um intervalo de tempo) que serve de termo de comparação, quando se quer calcular uma sucessão de números-índices. Aqui a base foi fixada como a média das observações no ano de 2012. Nota: A partir de maio de 2014, a Pesquisa Industrial Mensal Produção Física, sofre reformulação e dá-se início a divulgação da nova série de índices mensais da produção industrial, com base nas novas classificações, de atividades e produtos, usadas pelas demais pesquisas da indústria a partir de 2007, quais sejam: a Classificação Nacional de Atividades Econômicas - CNAE 2.0 e a Lista de Produtos da Indústria - PRODLIST-Indústria.  Segundo a classificação da CNAE 2.0, a Produção Industrial  só identifica  os serviços industriais mais importantes e somente quando são exercidos sob contrato. A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial.  Mais informações: <a href=""../doc/CNAE 2.0.pdf"">CNAE 2.0</a> ;  <a href=""../doc/PRODLIST - Indústria .pdf"">Lista de Produtos da Indústria</a> ; <a href=""../doc/IBGE DICIONARIO DE ESTATISTICA.pdf"">Dicionário Brasileiro de Estatística</a> e Guajarati, Introdução à Econometria Básica, 4ª Edição, 2004.",2021-03-05T10:12:00.88-03:00,Mensal,-,,A
PIM-PF - Prod. industrial - bens de consumo duráveis - Índ. base fixa  dessaz.(média 2012=100),PIM-PF - Prod. industrial - bens de consumo duráveis - Índ. base fixa  dessaz.(média 2012=100),PIMPFN12_QIBCDNAS12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF)",IBGE/PIM-PF,"A Pesquisa Industrial Mensal Produção Física têm por objetivo acompanhar a evolução do produto real da indústria no curto prazo, sendo necessário o levantamento de informações de volume físico de produtos selecionados e representativos de diferentes atividades industriais, como das indústrias extrativas e de transformação. A pesquisa vêm sendo feita desde 1970, com informações fornecidas todos os meses, até o dia 10 de cada mês posterior ao de referência.  Como produção Industrial de bens de consumo duráveis compreende-se mercadorias com vida útil superior a três anos e mercadorias com vida útil superior a um ano, mas com valor unitário relativamente alto, como geladeiras, refrigeradores e máquinas de lavar.  Base é o valor, num determinado momento ( efetivo ou resultante da média tomada dentro de um intervalo de tempo) que serve de termo de comparação, quando se quer calcular uma sucessão de números-índices. Aqui a base foi fixada como a média das observações no ano de 2012.O ajuste sazonal ou dessazonalização é  o processo de remoção do fator ou componente sazonal de uma série temporal econômica, já que várias são baseadas em dados mensais ou trimestrais que possuem um movimento oscilatório regular (padrão sazonal). Normalmente, este padrão é gerado por estações climáticas ou eventos, como por exemplo Natal e férias de verão levando a um aumento da demanda em determinada indústria ou comércio, ou até mesmo um aumento de preço de um produto agrícola após período de colheita.  Nota: A partir de maio de 2014, a Pesquisa Industrial Mensal Produção Física, sofre reformulação e dá-se início a divulgação da nova série de índices mensais da produção industrial, com base nas novas classificações, de atividades e produtos, usadas pelas demais pesquisas da indústria a partir de 2007, quais sejam: a Classificação Nacional de Atividades Econômicas - CNAE 2.0 e a Lista de Produtos da Indústria - PRODLIST-Indústria.  Segundo a classificação da CNAE 2.0, a Produção Industrial  só identifica  os serviços industriais mais importantes e somente quando são exercidos sob contrato. A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial.  Mais informações: <a href=""../doc/CNAE 2.0.pdf"">CNAE 2.0</a> ;  <a href=""../doc/PRODLIST - Indústria .pdf"">Lista de Produtos da Indústria</a> ; <a href=""../doc/IBGE DICIONARIO DE ESTATISTICA.pdf"">Dicionário Brasileiro de Estatística</a> e Guajarati, Introdução à Econometria Básica, 4ª Edição, 2004.",2021-03-05T10:12:00.88-03:00,Mensal,-,,A
