,CODE,NAME,COMMENT,LAST UPDATE,BIG THEME,SOURCE ACRONYM,SOURCE,SOURCE URL,FREQUENCY,MEASURE,UNIT,SERIES STATUS,THEME CODE,COUNTRY,NUMERICA
19,ABATE12_ABQUSU12,Abate - suínos - qde.,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para suínos, é facultativo a retirada de couro, cabeça e pés. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Macroeconômico,IBGE/Coagro,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",www.ibge.gov.br,Mensal,Cabeça,mil,A,1,BRA,True
20,ABATE12_ABQUVA12,Abate - vacas - qde.,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para vacas, bovino fêmea adulta, com no mínimo dois anos de idade, independente de já ter reproduzido ou não é facultativo a retirada de couro, cabeça e pés. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Macroeconômico,IBGE/Coagro,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",www.ibge.gov.br,Mensal,Cabeça,mil,A,1,BRA,True
23,ABPO12_PAPEL12,"Expedição de caixas, acessórios e chapas - papelão ondulado - qde.","Dados a partir de jan/2005 revisados pela fonte em 2011. Os dados anteriores aqui apresentados foram encadeados à série nova de modo a manter as variações mensais da série anteriormente disponível. Para isso, os valores de jan/1980 a dez/2004 da série antiga foram elevados em 24,95%.",2021-03-01T15:14:00.81-03:00,Macroeconômico,ABPO,"Associação Brasileira do Papelão Ondulado, Boletim Informativo (ABPO/Boletim)",www.abpo.org.br,Mensal,Tonelada,,A,1,BRA,True
31,ANDA12_PFERTILIZ12,Produção- fertilizantes - qde.,Os dados referem-se a produção nacional de fertilizantes intermediários.,2021-03-05T17:28:00.18-03:00,Macroeconômico,Anda,Associação Nacional para Difusão de Adubos (Anda),www.anda.org.br,Mensal,Tonelada,.,A,1,BRA,True
44,ANP12_PDGASN12,Produção - gás natural - média - qde.,Quantidade média produzida a cada dia do mês.,2021-03-05T15:08:00.313-03:00,Macroeconômico,ANP,Agência Nacional do Petróleo (ANP),www.anp.gov.br,Mensal,Metro cúbico,milhões,A,1,BRA,True
45,ANP12_PDPET12,Produção - petróleo - média - qde./dia,Quantidade média produzida a cada dia do mês.,2021-03-05T15:08:00.313-03:00,Macroeconômico,ANP,Agência Nacional do Petróleo (ANP),www.anp.gov.br,Mensal,Barril,mil,A,1,BRA,True
51,CE12_CUTIND12,Utilização da capacidade instalada - indústria - média,"A partir de 2005 a pesquisa passa a ser divulgada mensalmente. Antes de 1998 os dados foram encadeados a partir da antiga pesquisa realizada trimestralmente nos meses de janeiro, abril, julho e outubro.",2021-03-05T15:08:00.313-03:00,Macroeconômico,FGV/Conj. Econ.,"Fundação Getulio Vargas, Conjuntura Econômica (FGV/Conj. Econ.)",www.fgv.br,Mensal,(%),,A,1,BRA,True
57,CNI12_INDE12,Produção industrial - indústria geral -  estoques  - evolução - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
58,CNI12_INDEE12,Produção industrial - indústria extrativa -  estoques  - evolução - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
59,CNI12_INDEP12,Produção industrial - indústria extrativa -  estoques  - efetivo/planejado - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
60,CNI12_INDP12,Produção industrial - indústria geral -  estoques  - efetivo/planejado - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
61,CNI12_INDTE12,Produção industrial - indústria de transformação -  estoques  - evolução - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
62,CNI12_INDTP12,Produção industrial - indústria de transformação -  estoques  - efetivo/planejado - índice,"Para detalhes da metodologia: <a href= ""../doc/Sondagem Industrial.pdf "">Sondagem Industrial.pdf</a>.",2021-03-01T15:12:01.163-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,-,,A,1,BRA,True
63,CNI12_NUCAP12,Utilização da capacidade instalada - indústria,"A partir de janeiro de 2006 os dados foram calculados com nova metodologia, que apresenta duas mudanças fundamentais, uma na base de ponderação e outra na conceituação de variáveis.  Os  indicadores tiveram os cálculos refeitos desde janeiro de 2003. Para dados anteriores a janeiro 2003 o encadeamento da série foi feito utilizando a série divulgada com base na antiga metodologia.",2021-03-04T15:04:00.41-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,(%),,A,1,BRA,True
64,CNI12_NUCAPD12,Utilização da capacidade instalada - indústria - dessaz.,"A partir de janeiro de 2006 os dados foram calculados com nova metodologia, que apresenta duas mudanças fundamentais, uma na base de ponderação e outra na conceituação de variáveis.  Os  indicadores tiveram os cálculos refeitos desde janeiro de 2003. Para dados anteriores a janeiro 2003 o encadeamento da série foi feito utilizando a série divulgada com base na antiga metodologia.",2021-03-04T15:04:00.41-03:00,Macroeconômico,CNI,Confederação Nacional da Indústria,www.cni.org.br,Mensal,(%),,A,1,BRA,True
72,FIEMG12_CUTIND12,Utilização da capacidade - indústria - extrativa mineral - média,A Utilização da Capacidade Instalada (UCI) é um índice que mede o nível de atividade da indústria mostrando a porcentagem do parque industrial que está trabalhando.,2021-02-12T09:06:00.287-03:00,Macroeconômico,Fiemg,Federação das Indústrias do Estado de Minas Gerais (Fiemg),www.fiemg.com.br,Mensal,(%),,A,1,BRA,True
176,IBSIE12_QSCAB12,Produção - aço bruto,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .",2021-03-05T17:44:00.05-03:00,Macroeconômico,IBS/IE,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",www.ibs.org.br,Mensal,Tonelada,mil,A,1,BRA,True
177,IBSIE12_QSCFG12,Produção - ferro-gusa,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .",2021-03-05T17:44:00.05-03:00,Macroeconômico,IBS/IE,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",www.ibs.org.br,Mensal,Tonelada,mil,A,1,BRA,True
178,IBSIE12_QSCL12,Produção - laminados,"Quadro: Produção siderúrgica brasileira.  In: <a href=""http://www.ibs.org.br/producao.htm"">http://www.ibs.org.br/producao.htm</a> .  Obs.: Compreende laminados planos e longos.",2021-03-05T17:44:00.05-03:00,Macroeconômico,IBS/IE,"Instituto Brasileiro de Siderurgia, Informe Estatístico (IBS/IE)",www.ibs.org.br,Mensal,Tonelada,mil,A,1,BRA,True
274,ONS12_CONV12,Geração de energia elétrica - térmica convencional - qde.,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Macroeconômico,ONS,Operador Nacional do Sistema Elétrico (ONS),www.ons.org.br,Mensal,GWh,,A,1,BRA,True
276,ONS12_HIDR12,Geração de energia elétrica - hidráulica - qde.,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Macroeconômico,ONS,Operador Nacional do Sistema Elétrico (ONS),www.ons.org.br,Mensal,GWh,,A,1,BRA,True
277,ONS12_NUCL12,Geração de energia elétrica - termo nuclear - qde.,Quadro: Geração de energia. Nos.: Dados referêntes ao sistema nacional integrado (SIN),2021-02-08T16:40:00.74-03:00,Macroeconômico,ONS,Operador Nacional do Sistema Elétrico (ONS),www.ons.org.br,Mensal,GWh,,A,1,BRA,True
375,PIMPFN12_QIBCDN12,PIM-PF - Produção industrial - bens de consumo duráveis -  Índice base fixa (média 2012=100),"A Pesquisa Industrial Mensal Produção Física têm por objetivo acompanhar a evolução do produto real da indústria no curto prazo, sendo necessário o levantamento de informações de volume físico de produtos selecionados e representativos de diferentes atividades industriais, como das indústrias extrativas e de transformação. A pesquisa vêm sendo feita desde 1970, com informações fornecidas todos os meses, até o dia 10 de cada mês posterior ao de referência.  Como produção industrial de bens de consumo duráveis compreende-se mercadorias com vida útil superior a três anos e mercadorias com vida útil superior a um ano, mas com valor unitário relativamente alto, como geladeiras, refrigeradores e máquinas de lavar.  Base é o valor, num determinado momento ( efetivo ou resultante da média tomada dentro de um intervalo de tempo) que serve de termo de comparação, quando se quer calcular uma sucessão de números-índices. Aqui a base foi fixada como a média das observações no ano de 2012. Nota: A partir de maio de 2014, a Pesquisa Industrial Mensal Produção Física, sofre reformulação e dá-se início a divulgação da nova série de índices mensais da produção industrial, com base nas novas classificações, de atividades e produtos, usadas pelas demais pesquisas da indústria a partir de 2007, quais sejam: a Classificação Nacional de Atividades Econômicas - CNAE 2.0 e a Lista de Produtos da Indústria - PRODLIST-Indústria.  Segundo a classificação da CNAE 2.0, a Produção Industrial  só identifica  os serviços industriais mais importantes e somente quando são exercidos sob contrato. A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial.  Mais informações: <a href=""../doc/CNAE 2.0.pdf"">CNAE 2.0</a> ;  <a href=""../doc/PRODLIST - Indústria .pdf"">Lista de Produtos da Indústria</a> ; <a href=""../doc/IBGE DICIONARIO DE ESTATISTICA.pdf"">Dicionário Brasileiro de Estatística</a> e Guajarati, Introdução à Econometria Básica, 4ª Edição, 2004.",2021-03-05T10:12:00.88-03:00,Macroeconômico,IBGE/PIM-PF,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF)",www.ibge.gov.br,Mensal,-,,A,1,BRA,True
376,PIMPFN12_QIBCDNAS12,PIM-PF - Prod. industrial - bens de consumo duráveis - Índ. base fixa  dessaz.(média 2012=100),"A Pesquisa Industrial Mensal Produção Física têm por objetivo acompanhar a evolução do produto real da indústria no curto prazo, sendo necessário o levantamento de informações de volume físico de produtos selecionados e representativos de diferentes atividades industriais, como das indústrias extrativas e de transformação. A pesquisa vêm sendo feita desde 1970, com informações fornecidas todos os meses, até o dia 10 de cada mês posterior ao de referência.  Como produção Industrial de bens de consumo duráveis compreende-se mercadorias com vida útil superior a três anos e mercadorias com vida útil superior a um ano, mas com valor unitário relativamente alto, como geladeiras, refrigeradores e máquinas de lavar.  Base é o valor, num determinado momento ( efetivo ou resultante da média tomada dentro de um intervalo de tempo) que serve de termo de comparação, quando se quer calcular uma sucessão de números-índices. Aqui a base foi fixada como a média das observações no ano de 2012.O ajuste sazonal ou dessazonalização é  o processo de remoção do fator ou componente sazonal de uma série temporal econômica, já que várias são baseadas em dados mensais ou trimestrais que possuem um movimento oscilatório regular (padrão sazonal). Normalmente, este padrão é gerado por estações climáticas ou eventos, como por exemplo Natal e férias de verão levando a um aumento da demanda em determinada indústria ou comércio, ou até mesmo um aumento de preço de um produto agrícola após período de colheita.  Nota: A partir de maio de 2014, a Pesquisa Industrial Mensal Produção Física, sofre reformulação e dá-se início a divulgação da nova série de índices mensais da produção industrial, com base nas novas classificações, de atividades e produtos, usadas pelas demais pesquisas da indústria a partir de 2007, quais sejam: a Classificação Nacional de Atividades Econômicas - CNAE 2.0 e a Lista de Produtos da Indústria - PRODLIST-Indústria.  Segundo a classificação da CNAE 2.0, a Produção Industrial  só identifica  os serviços industriais mais importantes e somente quando são exercidos sob contrato. A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial.  Mais informações: <a href=""../doc/CNAE 2.0.pdf"">CNAE 2.0</a> ;  <a href=""../doc/PRODLIST - Indústria .pdf"">Lista de Produtos da Indústria</a> ; <a href=""../doc/IBGE DICIONARIO DE ESTATISTICA.pdf"">Dicionário Brasileiro de Estatística</a> e Guajarati, Introdução à Econometria Básica, 4ª Edição, 2004.",2021-03-05T10:12:00.88-03:00,Macroeconômico,IBGE/PIM-PF,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF)",www.ibge.gov.br,Mensal,-,,A,1,BRA,True
